No.,Player,Pos,Height,Wt,Birth Date,Age,Country,Exp,College
22,Franz Wagner,SF,6.75,225,8/27/2001,21,de,1,Michigan
5,Paolo Banchero,PF,6.833333333,250,11/12/2002,20,us,0,Duke
10,Bol Bol,PF,7.166666667,220,11/16/1999,23,sd,3,Oregon
20,Markelle Fultz,PG,6.25,209,5/29/1998,24,us,5,Washington
50,Cole Anthony,PG,6.166666667,185,5/15/2000,22,us,2,UNC
34,Wendell Carter Jr.,C,6.833333333,270,4/16/1999,23,us,4,Duke
21,Moritz Wagner,C,6.916666667,245,4/26/1997,25,de,4,Michigan
4,Jalen Suggs,PG,6.333333333,205,6/3/2001,21,us,1,Gonzaga
2,Caleb Houstan,SF,6.666666667,205,1/9/2003,19,ca,0,Michigan
14,Gary Harris,SG,6.333333333,210,9/14/1994,28,us,8,Michigan State
25,Admiral Schofield,PF,6.416666667,241,3/30/1997,25,gb,2,Tennessee
7,Kevon Harris,SG,6.5,216,6/24/1997,25,us,0,Stephen F. Austin
3,Chuma Okeke,SF,6.5,229,8/18/1998,24,us,2,Auburn
35,Goga Bitadze,C,6.916666667,250,7/20/1999,23,ge,3,
1,Jonathan Isaac,PF,6.916666667,230,10/3/1997,25,us,3,Florida State
11,Michael Carter-Williams,PG,6.416666667,190,10/10/1991,31,us,8,Syracuse
0,Jay Scrubb,SG,6.416666667,220,9/1/2000,22,us,2,John A. Logan College
